영단어,동의어,단어뜻,예문,예문뜻
genius,talent,"천재, 비상한 재주",Genius is one percent inspiration and ninety-nine percent perfect perspiration.,천재는 1%의 영감과 99%의 노력이다.
inferior,lower,하위의; 열등한,He is inferior to me in scholarship.,그는 학문에는 나보다 열등하다.
superior,excellent,"뛰어난, 우수한; 고급의",He is definitely superior to the others.,그는 남보다 단연 우수하다.
struggle,,"싸우다; 분투하다, 애쓰다; 몸부림치다; 투쟁, 싸움, 노력",They struggled to build a more democratic society.,그들은 더 민주적인 사회를 건설하기 위해 투쟁했다.
struggle,,"싸우다; 분투하다, 애쓰다; 몸부림치다; 투쟁, 싸움, 노력",All life is a series of struggles.,모든 인생은 고투의 연속이다.
merit,"advantage, worth","장점, 가치 ; 우수함; (보통 pl.) 공적, 공로",Everybody has his merits and demerits.,사람은 누구나 장단을 가지고 있다.
proficient,skilled and experienced,"숙달된, 능숙한 , 능란한",She is proficient at[in] operating the computer.,그녀는 컴퓨터를 잘 다룬다.
absurd,"foolish, ridiculous","불합리한; 터무니없는, 우스꽝스런",His absurd behavior made many people laugh at him.,그의 너무나 터무니없는 행위는 모든 사람들이 그를 비웃게 만들었다.
prudent,"careful, cautious","신중한, 분별 있는",You must be prudent in future about what you do.,앞으로는 네가 하는 행동에 대해 좀 더 신중해야 한다.
elevate,"promote, raise","올리다, 높이다; 향상시키다; 승진시키다",The U.S.Forces Korea will elevate the legal drinking age from 20 to 21.,주한 미군은 법적 음주 연령을 종전 만 20세에서 21세로 상향시키기로 했 다.
wisdom,,"현명함, 지혜 , 슬기로움",Philosophers assume that the love of wisdom is a natural endowment of the human being.,철학자들은 지혜를 사랑하는 것이 인간의 천부의 능력이라고 생각한다.
intuition,,직관(력) ; 직관적 통찰,She claimed to know the truth by intuition.,그녀는 직관으로 진실을 안다고 주장했다.
pastime,recreation,"기분 전환[풀이], 오락, 유희, 소일거리",My favorite pastime is to watch videos at home.,내가 가장 좋아하는 여가 활동은 집에서 비디오를 보는 것이다.
silly,"stupid, foolish","어리석은 ; 분별없는, 바보 같은",The guest was not ashamed of his silly conduct at all.,그 손님은 어리석은 자신의 행동을 전혀 부끄러워하지 않았다.
document,,"문서, 서류; 기록, 증거 자료",Shall I send the documents to you or will you pick them up?,"서류를 보내드릴까요, 아니면 찾으러 오시겠습니까?"
poem,,(한 편의) 시(詩),The poem is neither realistic nor humorous.,그 시는 사실적이지도 않고 유머러스하지도 않다.
author,writer,"저자, 작가, 저술가",The author wishes to remain anonymous.,그 작가는 계속 익명으로 남아 있기를 원한다.
novel,,"(장편) 소설; 소설 문학 a. 신기한, 새로운",His last novel is his greatest contribution to Spanish literature.,그의 마지막 소설은 스페인 문학에 지대한 공헌을 했다.
article,,"기사(記事), 논설; 품목 ; 물품, 물건; 조항","As indicated in the newspaper article, traffic accidents are one of the most significant causes of death.","신문 기사에서 보여 주듯이, 교통사고는 가장 주요한 사망 원인들 중의 하 나이다."
anonymous,"unnamed, nameless, unknown","익명의, 가명의, 변명의",An anonymous benefactor donated 2 million dollars.,한 익명의 은인이 2백만 달러를 기증했다.
stationery,,"문방구, 문구",I'd like you to go to the stationery store and pick up some fax paper.,문방구에 가서 팩스 용지 좀 사다 주세요.
profound,sincere,"심오한, 뜻이 깊은; 난해한; 마음에서 우러난","Her book is literate, thoughtful, at times profound.",그녀의 책은 문학적이고 사색적이며 때로는 심오하다.
actual,real,"현실의, 사실상의, 실제의",The predicted results and the actual results are very different.,예상했던 결과와 실제의 결과는 전혀 다르다.
figure,,"몸매 , 풍채, 자태; 인물 , 거물; 형태, 모양, 형상; ~하다고 생각하 다, 판단하다; 계산하다; 어림하다","He may look like a very ordinary little man, but he is a figure of real consequence in the state government.","그가 작고 평범한 사람으로 보일지 모르지만, 주 정부에서는 정말 중요한 인물이다."
figure,,"몸매 , 풍채, 자태; 인물 , 거물; 형태, 모양, 형상; ~하다고 생각하 다, 판단하다; 계산하다; 어림하다",His spelling's poor but he's quick at figures.,그는 철자 쓰기는 형편없지만 숫자에는 능하다.
edit,,"편집을 하다; (원고를) 손질하다, 교정보다",We edit scientific papers for many leading Korean research institutes.,저희는 많은 한국 굴지의 연구 기관을 위해 학술 논문을 편집하고 있습니 다.
boring,"dull, tiresome","지루한, 따분한",I wonder why did George Lucas spend his money and time on a boring old movie.,나는 George Lucas가 왜 지루한 옛날 영화에 시간과 돈을 써버렸는지 궁금 하다.
concrete,specific,"구체적인 , 실재하는; 유형의; 구체물; 응고물; 콘크리트",The police have concrete evidence about who committed the crime.,경찰은 누가 범죄를 저질렀는가에 관한 구체적인 증거를 가지고 있다.
exaggerate,"overstate, amplify","과장하다, 지나치게 강조하다",She has a way of exaggerating things.,그녀는 사물을 과장해서 말하는 버릇이 있다.
derive,,"끌어내다, 유래를 찾다",The word 'politics' is derived from a Greek word meaning 'city'.,'politics'란 낱말은 '도시'를 뜻하는 그리스어 낱말에서 파생된 것이다.
legend,,"전설 , 설화, 전해 오는 이야기; (지도·도표 등의) 범례(凡例)",The legend of King Arthur has persisted for nearly fifteen centuries.,아서 왕의 전설은 거의 15세기 동안이나 지속되어 왔다.
fiction,noble,소설; 꾸민 이야기,Talk of intelligent life on other planets was once the stuff of science fiction.,다른 행성들에 있는 지능이 있는 생명체에 대해 말하는 것은 한때 과학 소 설의 소재였다.
biography,life story,"전기(傳記), 일대기",He is a well-known author of biographies.,그 사람은 유명한 전기 작가이다.
summarize,sum up,"요약하다 , 개괄하다",Can you summarize your educational background for me?,학력을 간단하게 요약해 주시겠습니까?
tragedy,comedy,비극(적인 사건); 비극적인 이야기,The tragedy must be remembered so as not to be repeated.,그 비극은 반복되지 않도록 기억되어야 한다.
manuscript,,"원고; 사본, 필사본",The deadline of the manuscript is May 27.,원고 마감 시간은 5월 27일이다.
antipathy,,"혐오, 반감",He left an antipathy to dictatorship.,그는 독재에 대한 반감을 느꼈다.
verbal,oral,"말의, 구두(口頭)의",I made a verbal contract with him.,나는 그와 구두 계약을 맺었다.
coarse,rough,"조잡한, 거친; 열등한, 천한",He was very coarse in speech.,그는 말씨가 매우 조잡했다.
fable,,우화,Fables are short stories that have a moral or lesson.,우화는 교훈이나 가르침이 있는 짧은 이야기이다.
genre,,"유형, 양식; 종류; 장르",This is his first attempt at writing genre fiction.,이것은 그가 처음으로 집필을 시도한 장르 소설이다.
prose,,산문(散文),That writer's prose is really difficult to follow.,그 작가의 산문은 이해하기가 정말 어려워요.
verse,,"운문, 시(詩)",His publications include a book of short stories and several volumes of verse.,그의 출판물에는 단편 소설집 한 권과 시집 몇 권이 포함된다.
abbreviate,shorten,"(어구를) 약(略)해서 쓰다, 생략[단축]하다",The name Susan is often abbreviated to Sue.,Susan은 종종 Sue라고 짧게 불린다.
metaphor,,"은유(隱喩), 암유(暗喩)",'He is an eagle in flight' is a metaphor.,'그는 비행할 때는 독수리다.' 라는 것은 은유적 표현이다.
opinion,view,"의견, 견해","In my opinion, permanent peace is nothing but an illusion.",내 견해로는 영원한 평화는 환상에 불과하다.
solve,resolve,"풀다, 해결하다",The pressing need for our country is to solve the North Korean nuclear problem.,우리나라의 당면한 급선무는 북한 핵문제 해결이다.
analyze,,"분석하다, 분해하다 ; 해석하다",The team will collect and analyze water samples from wells in the area.,그 팀은 그 지역의 우물에서 물 샘플을 채취하여 분석할 것이다.
certify,"assure, testify",증명하다 ; 보증하다,I certify that he is a diligent student.,나는 그가 착실한 학생임을 보증한다.
indeed,,"실로, 실제로; 정말, 대단히",A friend in need is a friend indeed.,곤궁할 때의 친구가 참된 친구이다.
emphasize,stress,강조하다 ; 역설하다,Parents emphasize that children should be independent.,부모들은 아이들이 독립심을 가져야 한다고 강조한다.
object,,"물건, 물체; 목적; 반대하다",National welfare is the object of politics.,국민의 복지가 정치의 목적이다.
object,,"물건, 물체; 목적; 반대하다",There is no reason why she should object.,그녀가 반대해야만 할 이유는 없다.
affair,"event, business","일, 용건; (일상의) 업무 , 용무; 사건","He is proficient in both French and Italian, and is an expert in international affairs.","그는 불어와 이태리어에도 능통하며, 국제 문제에도 정통하다."
factor,element,"요인 , 인자, 요소",Several factors contribute to the poverty prevalent in some Latin American countries.,몇 가지 요인이 라틴 아메리카에 만연하는 가난의 원인이다.
aspect,,"양상, 모습; 국면; 관점",You must consider the problem from every aspect.,그 문제는 모든 관점에서 고려해야 한다.
review,,"재검토하다 ; 회고하다; (학과를) 복습하다; 재조사 , 재검토; 복습",I review my English lessons every day.,나는 매일 영어를 복습한다.
material,"stuff, substance, matter","물질; 재료; 자료; 물질의, 물질적 인","It’s a natural material, so the body does not react adversely.",이것은 천연 재료이기 때문에 몸에서 거부 반응이 일어나지 않는다.
detail,,세부; (pl) 상세; 상술(詳述); 세부 묘사[장식],I described my symptoms in detail.,나의 증상을 자세히 설명하였다.
conclude,,결론을 내리다 ; 결말을 짓다; 결정하다; (협약 등을) 체결하다,They’ve concluded to sell their farm.,그들은 농장을 팔기로 결정했다.
notion,"idea, opinion","관념, 개념; 의지","There is no evidence to support the notion that the more a citizen pays the government, the more he or she gets back.","시민들이 정부에게 더 많은 세금을 낼수록, 더 많이 돌려받는다는 개념을 뒷받침할만한 어떤 증거도 없습니다."
opposite,,"정반대의 사람[사물] ; 반대말; 역(逆)의 , 정반대의",My friend's character is opposite to mine.,나는 내 친구와 성격이 정반대다.
